Source,Target,Weight
000030,603555,1
000153,000156,1
000153,000513,1
000153,000538,0
000153,000559,0
000153,000568,0
000153,000596,1
000153,000700,1
000153,000858,0
000153,000915,1
000153,000919,0
000153,002001,1
000153,002019,1
000153,002022,0
000153,002038,0
000153,002126,1
000153,002287,1
000153,002294,0
000153,002304,1
000153,002317,1
000153,002328,0
000153,002332,1
000153,002343,1
000153,002365,1
000153,002404,1
000153,002412,0
000153,002434,1
000153,002503,1
000153,002536,1
000153,002550,1
000153,002566,0
000153,002569,1
000153,002590,0
000153,002603,1
000153,002664,1
000153,002688,1
000153,002728,1
000153,300005,1
000153,300026,0
000153,300039,1
000153,300119,0
000153,300194,1
000153,300255,1
000153,300258,0
000153,300294,1
000153,300381,1
000153,300406,1
000153,300434,0
000153,300452,0
000153,300463,0
000153,300485,0
000153,300501,0
000153,300519,1
000153,600006,1
000153,600059,1
000153,600079,1
000153,600081,1
000153,600196,1
000153,600299,0
000153,600380,1
000153,600513,0
000153,600535,1
000153,600559,1
000153,600594,0
000153,600671,1
000153,600686,0
000153,600699,1
000153,600779,1
000153,601579,0
000153,601799,1
000153,603006,0
000153,603037,1
000153,603089,0
000153,603158,0
000153,603166,1
000153,603239,1
000153,603358,0
000153,603369,0
000153,603567,0
000153,603788,1
000153,603919,1
000153,603997,0
000156,002566,1
000156,002590,1
000156,300039,0
000156,300485,1
000156,600380,0
000156,600513,1
000156,600559,0
000156,603306,1
000156,603369,1
000156,603919,0
000156,603997,1
000338,000030,1
000338,000848,1
000338,000951,0
000338,002102,1
000338,600252,0
000338,600557,1
000338,600742,0
000338,601965,1
000338,603035,0
000338,603808,0
000403,000590,1
000403,000788,1
000403,000790,1
000403,000860,1
000403,002510,1
000403,002773,1
000403,300009,1
000423,000030,1
000423,000625,0
000423,000760,0
000423,000802,0
000423,000892,0
000423,000908,0
000423,000927,0
000423,000981,0
000423,002102,1
000423,002370,0
000423,002435,0
000423,002437,0
000423,002445,0
000423,002703,0
000423,002740,0
000423,002765,0
000423,300006,0
000423,300111,0
000423,300133,0
000423,300176,0
000423,300336,0
000423,300439,0
000423,600189,0
000423,600238,0
000423,603009,0
000423,603555,0
000513,000156,0
000513,002022,1
000513,002294,1
000513,002304,0
000513,002566,1
000513,002590,1
000513,002603,0
000513,002688,0
000513,300039,0
000513,300119,1
000513,300428,1
000513,300485,1
000513,300580,1
000513,600196,0
000513,600211,1
000513,600380,0
000513,600513,1
000513,600559,0
000513,600594,1
000513,600702,1
000513,603006,1
000513,603166,0
000513,603306,1
000513,603369,1
000513,603567,1
000513,603919,0
000513,603997,1
000518,000403,1
000518,000590,0
000518,000788,0
000518,300009,0
000518,300601,0
000534,000403,1
000534,000518,0
000534,000590,0
000534,000788,0
000534,002646,0
000534,300009,0
000534,300601,0
000534,600351,0
000538,000156,1
000538,000513,1
000538,000700,1
000538,002019,1
000538,002022,0
000538,002294,0
000538,002304,1
000538,002317,1
000538,002434,1
000538,002536,1
000538,002566,0
000538,002590,0
000538,002603,1
000538,002688,1
000538,300005,1
000538,300039,1
000538,300119,0
000538,300485,0
000538,600059,1
000538,600196,1
000538,600380,1
000538,600513,0
000538,600559,1
000538,600594,0
000538,600671,1
000538,601799,1
000538,603006,0
000538,603166,1
000538,603369,0
000538,603567,0
000538,603919,1
000538,603997,0
000550,000403,1
000550,000518,0
000550,000534,0
000550,000590,0
000550,000729,0
000550,000788,0
000550,000800,0
000550,000868,0
000550,000929,0
000550,000931,0
000550,000957,0
000550,002101,0
000550,002118,0
000550,002239,1
000550,002252,0
000550,002265,0
000550,002355,0
000550,002488,0
000550,002562,0
000550,002581,0
000550,002594,0
000550,002612,0
000550,002646,0
000550,002693,0
000550,002715,0
000550,002817,1
000550,002821,1
000550,002826,1
000550,300009,0
000550,300110,0
000550,300142,0
000550,300147,0
000550,300204,0
000550,300239,0
000550,300267,0
000550,300436,0
000550,300528,0
000550,300534,0
000550,300558,0
000550,300583,0
000550,300585,0
000550,300601,0
000550,600088,1
000550,600107,0
000550,600136,1
000550,600178,0
000550,600213,0
000550,600267,0
000550,600276,0
000550,600300,0
000550,600351,0
000550,600375,1
000550,600385,0
000550,600501,0
000550,600543,0
000550,600715,0
000550,600771,0
000550,600789,1
000550,600812,0
000550,600851,0
000550,601718,0
000550,603168,0
000550,603566,1
000550,603718,0
000559,000156,1
000559,000513,1
000559,000538,0
000559,000568,0
000559,000596,1
000559,000700,1
000559,000858,0
000559,000915,1
000559,000919,0
000559,002001,1
000559,002019,1
000559,002022,0
000559,002038,0
000559,002126,1
000559,002287,1
000559,002294,0
000559,002304,1
000559,002317,1
000559,002328,0
000559,002332,1
000559,002343,1
000559,002365,1
000559,002434,1
000559,002503,1
000559,002536,1
000559,002550,1
000559,002566,0
000559,002569,1
000559,002590,0
000559,002603,1
000559,002664,1
000559,002688,1
000559,002728,1
000559,300005,1
000559,300026,0
000559,300039,1
000559,300119,0
000559,300194,1
000559,300255,1
000559,300258,0
000559,300294,1
000559,300381,1
000559,300406,1
000559,300434,0
000559,300452,0
000559,300463,0
000559,300485,0
000559,600006,1
000559,600059,1
000559,600079,1
000559,600081,1
000559,600196,1
000559,600299,0
000559,600380,1
000559,600513,0
000559,600535,1
000559,600559,1
000559,600594,0
000559,600671,1
000559,600686,0
000559,600699,1
000559,600779,1
000559,601579,0
000559,601799,1
000559,603006,0
000559,603089,0
000559,603158,0
000559,603166,1
000559,603239,1
000559,603358,0
000559,603369,0
000559,603567,0
000559,603788,1
000559,603919,1
000559,603997,0
000566,000030,1
000566,000423,0
000566,000581,1
000566,000625,0
000566,000760,0
000566,000766,0
000566,000802,0
000566,000892,0
000566,000908,0
000566,000927,0
000566,000981,0
000566,002102,1
000566,002370,0
000566,002435,0
000566,002437,0
000566,002445,0
000566,002486,0
000566,002703,0
000566,002740,0
000566,002765,0
000566,300006,0
000566,300100,0
000566,300111,0
000566,300133,0
000566,300176,0
000566,300336,0
000566,300439,0
000566,600146,0
000566,600189,0
000566,600199,0
000566,600238,0
000566,600365,0
000566,600480,0
000566,600572,0
000566,600781,1
000566,603009,0
000566,603555,0
000568,000156,1
000568,000513,1
000568,000538,0
000568,000700,1
000568,000858,0
000568,002019,1
000568,002022,0
000568,002126,1
000568,002287,1
000568,002294,0
000568,002304,1
000568,002317,1
000568,002434,1
000568,002536,1
000568,002550,1
000568,002566,0
000568,002590,0
000568,002603,1
000568,002664,1
000568,002688,1
000568,300005,1
000568,300026,0
000568,300039,1
000568,300119,0
000568,300194,1
000568,300258,0
000568,300434,0
000568,300485,0
000568,600059,1
000568,600079,1
000568,600196,1
000568,600380,1
000568,600513,0
000568,600535,1
000568,600559,1
000568,600594,0
000568,600671,1
000568,600699,1
000568,601579,0
000568,601799,1
000568,603006,0
000568,603158,0
000568,603166,1
000568,603358,0
000568,603369,0
000568,603567,0
000568,603788,1
000568,603919,1
000568,603997,0
000572,000596,1
000572,000597,0
000572,000665,1
000572,000700,1
000572,000790,1
000572,000799,0
000572,000813,1
000572,000860,1
000572,000915,1
000572,000989,0
000572,002007,0
000572,002166,1
000572,002287,1
000572,002317,1
000572,002343,1
000572,002363,1
000572,002365,1
000572,002390,0
000572,002424,1
000572,002433,0
000572,002434,1
000572,002448,0
000572,002503,1
000572,002510,1
000572,002536,1
000572,002568,1
000572,002569,1
000572,002593,0
000572,002653,1
000572,002762,1
000572,002773,1
000572,300005,1
000572,300158,0
000572,300233,0
000572,300251,0
000572,300291,1
000572,300294,1
000572,300363,1
000572,300381,1
000572,300482,1
000572,600059,1
000572,600085,0
000572,600132,0
000572,600161,1
000572,600195,0
000572,600216,0
000572,600400,1
000572,600519,0
000572,600521,0
000572,600523,1
000572,600600,0
000572,600613,1
000572,600671,1
000572,600779,1
000572,600809,1
000572,600960,1
000572,601595,0
000572,601689,1
000572,601799,1
000572,603239,1
000572,603456,1
000581,000030,0
000581,000338,1
000581,000423,1
000581,000625,1
000581,000760,1
000581,000802,1
000581,000892,1
000581,000908,1
000581,000927,1
000581,000951,1
000581,000981,1
000581,000999,1
000581,002102,0
000581,002370,1
000581,002435,1
000581,002437,1
000581,002445,1
000581,002486,1
000581,002703,1
000581,002740,1
000581,002765,1
000581,300006,1
000581,300100,1
000581,300111,1
000581,300133,1
000581,300176,1
000581,300336,1
000581,300439,1
000581,600056,1
000581,600146,1
000581,600189,1
000581,600199,1
000581,600238,1
000581,600252,1
000581,600365,1
000581,600420,1
000581,600479,1
000581,600480,1
000581,600742,1
000581,600781,0
000581,603009,1
000581,603035,1
000581,603555,1
000581,603808,1
000590,000788,0
000590,300009,0
000596,000538,1
000596,000568,1
000596,000700,0
000596,000799,1
000596,000858,1
000596,000919,1
000596,002022,1
000596,002287,0
000596,002294,1
000596,002317,0
000596,002365,0
000596,002390,1
000596,002433,1
000596,002434,0
000596,002536,0
000596,002566,1
000596,002590,1
000596,300005,0
000596,300026,1
000596,300119,1
000596,300158,1
000596,300233,1
000596,300251,1
000596,300258,1
000596,300434,1
000596,300452,1
000596,300485,1
000596,600059,0
000596,600085,1
000596,600132,1
000596,600195,1
000596,600216,1
000596,600513,1
000596,600519,1
000596,600521,1
000596,600594,1
000596,600671,0
000596,601579,1
000596,601799,0
000596,603006,1
000596,603089,1
000596,603158,1
000596,603239,0
000596,603358,1
000596,603369,1
000596,603567,1
000596,603997,1
000597,000596,1
000597,000700,1
000597,000790,1
000597,000799,0
000597,000813,1
000597,000860,1
000597,000915,1
000597,000989,0
000597,002007,0
000597,002166,1
000597,002287,1
000597,002317,1
000597,002363,1
000597,002365,1
000597,002390,0
000597,002433,0
000597,002434,1
000597,002510,1
000597,002536,1
000597,002568,1
000597,002653,1
000597,002762,1
000597,002773,1
000597,300005,1
000597,300158,0
000597,300233,0
000597,300251,0
000597,300363,1
000597,300381,1
000597,300482,1
000597,600059,1
000597,600085,0
000597,600132,0
000597,600161,1
000597,600195,0
000597,600216,0
000597,600400,1
000597,600519,0
000597,600521,0
000597,600523,1
000597,600613,1
000597,600671,1
000597,600779,1
000597,600809,1
000597,600960,1
000597,601689,1
000597,601799,1
000597,603239,1
000597,603456,1
000623,000030,1
000623,000338,0
000623,000581,1
000623,000756,1
000623,000848,1
000623,000869,1
000623,000951,0
000623,000999,0
000623,002003,1
000623,002020,0
000623,002029,0
000623,002048,1
000623,002102,1
000623,002283,0
000623,002406,0
000623,002737,1
000623,300432,0
000623,300497,1
000623,600056,0
000623,600066,1
000623,600177,1
000623,600197,1
000623,600252,0
000623,600398,0
000623,600420,0
000623,600479,0
000623,600557,1
000623,600742,0
000623,600750,0
000623,600781,1
000623,601965,1
000623,603035,0
000623,603198,1
000623,603518,1
000623,603808,0
000623,603839,1
000625,000030,1
000625,000802,0
000625,000892,0
000625,000927,0
000625,000981,0
000625,002102,1
000625,002740,0
000625,300006,0
000625,300111,0
000625,300133,0
000625,300176,0
000625,300336,0
000625,300439,0
000625,600189,0
000625,603009,0
000625,603555,0
000650,000030,1
000650,000338,0
000650,000581,1
000650,000623,0
000650,000756,1
000650,000848,1
000650,000869,1
000650,000951,0
000650,000999,0
000650,002003,1
000650,002020,0
000650,002029,0
000650,002048,1
000650,002102,1
000650,002283,0
000650,002406,0
000650,002687,1
000650,002737,1
000650,300432,0
000650,300497,1
000650,600056,0
000650,600066,1
000650,600104,0
000650,600177,1
000650,600197,1
000650,600252,0
000650,600398,0
000650,600420,0
000650,600479,0
000650,600557,1
000650,600741,0
000650,600742,0
000650,600750,0
000650,600781,1
000650,601965,1
000650,603035,0
000650,603198,1
000650,603518,1
000650,603808,0
000650,603839,1
000650,603858,0
000661,000403,1
000661,000572,1
000661,000597,1
000661,000665,0
000661,000790,0
000661,000799,1
000661,000813,0
000661,000860,0
000661,000989,1
000661,002007,1
000661,002166,0
000661,002239,1
000661,002363,0
000661,002390,1
000661,002411,1
000661,002424,0
000661,002433,1
000661,002448,1
000661,002485,0
000661,002510,0
000661,002568,0
000661,002593,1
000661,002644,1
000661,002653,0
000661,002762,0
000661,002773,0
000661,002817,1
000661,002821,1
000661,002826,1
000661,300158,1
000661,300233,1
000661,300251,1
000661,300291,0
000661,300363,0
000661,300482,0
000661,300507,0
000661,600085,1
000661,600088,1
000661,600132,1
000661,600136,1
000661,600161,0
000661,600195,1
000661,600216,1
000661,600222,1
000661,600303,1
000661,600375,1
000661,600400,0
000661,600436,0
000661,600519,1
000661,600521,1
000661,600523,0
000661,600600,1
000661,600613,0
000661,600789,1
000661,600809,0
000661,600960,0
000661,601595,1
000661,601689,0
000661,603456,0
000661,603520,0
000661,603566,1
000661,603658,1
000665,000403,1
000665,000597,1
000665,000790,0
000665,000799,1
000665,000813,0
000665,000860,0
000665,000989,1
000665,002007,1
000665,002166,0
000665,002239,1
000665,002363,0
000665,002390,1
000665,002411,1
000665,002433,1
000665,002510,0
000665,002568,0
000665,002653,0
000665,002762,0
000665,002773,0
000665,002817,1
000665,002821,1
000665,002826,1
000665,300158,1
000665,300233,1
000665,300251,1
000665,300291,0
000665,300363,0
000665,300482,0
000665,600085,1
000665,600088,1
000665,600132,1
000665,600136,1
000665,600161,0
000665,600195,1
000665,600216,1
000665,600303,1
000665,600375,1
000665,600400,0
000665,600519,1
000665,600521,1
000665,600523,0
000665,600600,1
000665,600613,0
000665,600789,1
000665,600809,0
000665,600960,0
000665,601595,1
000665,601689,0
000665,603456,0
000665,603566,1
000665,603658,1
000700,002022,1
000700,002294,1
000700,002317,0
000700,002390,1
000700,002434,0
000700,002536,0
000700,002566,1
000700,002590,1
000700,300005,0
000700,300119,1
000700,300485,1
000700,600059,0
000700,600513,1
000700,600519,1
000700,600594,1
000700,601799,0
000700,603006,1
000700,603369,1
000700,603997,1
000729,000403,1
000729,000518,0
000729,000534,0
000729,000590,0
000729,000788,0
000729,002252,0
000729,002581,0
000729,002646,0
000729,002821,1
000729,300009,0
000729,300204,0
000729,300436,0
000729,300528,0
000729,300558,0
000729,300583,0
000729,300585,0
000729,300601,0
000729,600351,0
000729,600771,0
000729,600789,1
000729,600812,0
000729,600851,0
000739,000153,0
000739,000156,1
000739,000513,1
000739,000538,0
000739,000559,0
000739,000568,0
000739,000596,1
000739,000700,1
000739,000858,0
000739,000915,1
000739,000919,0
000739,002001,1
000739,002019,1
000739,002022,0
000739,002038,0
000739,002126,1
000739,002287,1
000739,002294,0
000739,002304,1
000739,002317,1
000739,002328,0
000739,002332,1
000739,002343,1
000739,002365,1
000739,002393,0
000739,002404,1
000739,002412,0
000739,002434,1
000739,002503,1
000739,002536,1
000739,002550,1
000739,002566,0
000739,002569,1
000739,002590,0
000739,002603,1
000739,002664,1
000739,002688,1
000739,002728,1
000739,300005,1
000739,300026,0
000739,300039,1
000739,300119,0
000739,300194,1
000739,300255,1
000739,300258,0
000739,300294,1
000739,300381,1
000739,300406,1
000739,300434,0
000739,300452,0
000739,300463,0
000739,300485,0
000739,300501,0
000739,300519,1
000739,600006,1
000739,600059,1
000739,600079,1
000739,600081,1
000739,600196,1
000739,600299,0
000739,600380,1
000739,600513,0
000739,600535,1
000739,600559,1
000739,600594,0
000739,600671,1
000739,600686,0
000739,600699,1
000739,600779,1
000739,601579,0
000739,601799,1
000739,603006,0
000739,603037,1
000739,603089,0
000739,603158,0
000739,603166,1
000739,603239,1
000739,603358,0
000739,603369,0
000739,603567,0
000739,603788,1
000739,603919,1
000739,603997,0
000752,000030,1
000752,000423,0
000752,000566,0
000752,000581,1
000752,000625,0
000752,000760,0
000752,000766,0
000752,000802,0
000752,000892,0
000752,000908,0
000752,000927,0
000752,000981,0
000752,002048,1
000752,002102,1
000752,002198,0
000752,002219,0
000752,002349,0
000752,002370,0
000752,002435,0
000752,002437,0
000752,002445,0
000752,002486,0
000752,002502,0
000752,002592,0
000752,002656,0
000752,002662,0
000752,002703,0
000752,002740,0
000752,002750,0
000752,002765,0
000752,300006,0
000752,300027,0
000752,300086,0
000752,300100,0
000752,300111,0
000752,300133,0
000752,300176,0
000752,300182,0
000752,300199,0
000752,300336,0
000752,300439,0
000752,600129,0
000752,600146,0
000752,600177,1
000752,600189,0
000752,600199,0
000752,600227,0
000752,600238,0
000752,600365,0
000752,600480,0
000752,600530,0
000752,600572,0
000752,600781,1
000752,601777,0
000752,603009,0
000752,603555,0
000752,603779,0
000756,000338,1
000756,000848,0
000756,000869,0
000756,000951,1
000756,000999,1
000756,002003,0
000756,002020,1
000756,002029,1
000756,002275,1
000756,002283,1
000756,002737,0
000756,002755,1
000756,300428,1
000756,300432,1
000756,300497,0
000756,300580,1
000756,600056,1
000756,600066,0
000756,600197,0
000756,600211,1
000756,600252,1
000756,600332,1
000756,600398,1
000756,600420,1
000756,600422,1
000756,600479,1
000756,600557,0
000756,600702,1
000756,600742,1
000756,600750,1
000756,601566,1
000756,601965,0
000756,603035,1
000756,603198,0
000756,603306,1
000756,603518,0
000756,603808,1
000756,603839,0
000760,000030,1
000760,000625,0
000760,000802,0
000760,000892,0
000760,000908,0
000760,000927,0
000760,000981,0
000760,002102,1
000760,002370,0
000760,002445,0
000760,002703,0
000760,002740,0
000760,300006,0
000760,300111,0
000760,300133,0
000760,300176,0
000760,300336,0
000760,300439,0
000760,600189,0
000760,600238,0
000760,603009,0
000760,603555,0
000766,000030,1
000766,000423,0
000766,000581,1
000766,000625,0
000766,000760,0
000766,000802,0
000766,000892,0
000766,000908,0
000766,000927,0
000766,000981,0
000766,002102,1
000766,002370,0
000766,002435,0
000766,002437,0
000766,002445,0
000766,002486,0
000766,002703,0
000766,002740,0
000766,002765,0
000766,300006,0
000766,300100,0
000766,300111,0
000766,300133,0
000766,300176,0
000766,300336,0
000766,300439,0
000766,600146,0
000766,600189,0
000766,600199,0
000766,600238,0
000766,600365,0
000766,600480,0
000766,600572,0
000766,600781,1
000766,603009,0
000766,603555,0
000788,300009,0
000799,000700,1
000799,000790,1
000799,000860,1
000799,002166,1
000799,002287,1
000799,002317,1
000799,002363,1
000799,002390,0
000799,002433,0
000799,002434,1
000799,002510,1
000799,002536,1
000799,002568,1
000799,002653,1
000799,002773,1
000799,300005,1
000799,300158,0
000799,300233,0
000799,300251,0
000799,300363,1
000799,300482,1
000799,600059,1
000799,600085,0
000799,600161,1
000799,600195,0
000799,600400,1
000799,600519,0
000799,600613,1
000799,600671,1
000799,600809,1
000799,601689,1
000799,601799,1
000799,603456,1
000800,000403,1
000800,000518,0
000800,000534,0
000800,000590,0
000800,000729,0
000800,000788,0
000800,000868,0
000800,000929,0
000800,000931,0
000800,000957,0
000800,002101,0
000800,002239,1
000800,002252,0
000800,002265,0
000800,002488,0
000800,002581,0
000800,002646,0
000800,002693,0
000800,002715,0
000800,002817,1
000800,002821,1
000800,002826,1
000800,300009,0
000800,300110,0
000800,300142,0
000800,300147,0
000800,300204,0
000800,300436,0
000800,300528,0
000800,300534,0
000800,300558,0
000800,300583,0
000800,300585,0
000800,300601,0
000800,600088,1
000800,600107,0
000800,600136,1
000800,600178,0
000800,600213,0
000800,600300,0
000800,600351,0
000800,600375,1
000800,600385,0
000800,600501,0
000800,600543,0
000800,600715,0
000800,600771,0
000800,600789,1
000800,600812,0
000800,600851,0
000800,601718,0
000800,603168,0
000800,603718,0
000802,000030,1
000802,000927,0
000802,002102,1
000802,002740,0
000802,300111,0
000802,300133,0
000802,300336,0
000802,603555,0
000813,000403,1
000813,000790,0
000813,000799,1
000813,000860,0
000813,002166,0
000813,002239,1
000813,002363,0
000813,002390,1
000813,002433,1
000813,002510,0
000813,002568,0
000813,002653,0
000813,002773,0
000813,002821,1
000813,002826,1
000813,300158,1
000813,300233,1
000813,300251,1
000813,300363,0
000813,300482,0
000813,600085,1
000813,600088,1
000813,600136,1
000813,600161,0
000813,600195,1
000813,600375,1
000813,600400,0
000813,600519,1
000813,600613,0
000813,600789,1
000813,600809,0
000813,601689,0
000813,603456,0
000848,600252,1
000848,600742,1
000848,603306,1
000858,000156,1
000858,000513,1
000858,000538,0
000858,000700,1
000858,002019,1
000858,002022,0
000858,002294,0
000858,002304,1
000858,002317,1
000858,002434,1
000858,002536,1
000858,002566,0
000858,002590,0
000858,002603,1
000858,002688,1
000858,300005,1
000858,300026,0
000858,300039,1
000858,300119,0
000858,300485,0
000858,600059,1
000858,600196,1
000858,600380,1
000858,600513,0
000858,600559,1
000858,600594,0
000858,600671,1
000858,601799,1
000858,603006,0
000858,603166,1
000858,603369,0
000858,603567,0
000858,603919,1
000858,603997,0
000860,000790,0
000868,000403,1
000868,000518,0
000868,000534,0
000868,000590,0
000868,000729,0
000868,000788,0
000868,000929,0
000868,000931,0
000868,000957,0
000868,002101,0
000868,002239,1
000868,002252,0
000868,002265,0
000868,002488,0
000868,002581,0
000868,002646,0
000868,002715,0
000868,002817,1
000868,002821,1
000868,002826,1
000868,300009,0
000868,300110,0
000868,300142,0
000868,300147,0
000868,300204,0
000868,300436,0
000868,300528,0
000868,300534,0
000868,300558,0
000868,300583,0
000868,300585,0
000868,300601,0
000868,600088,1
000868,600107,0
000868,600136,1
000868,600178,0
000868,600213,0
000868,600300,0
000868,600351,0
000868,600375,1
000868,600385,0
000868,600501,0
000868,600543,0
000868,600715,0
000868,600771,0
000868,600789,1
000868,600812,0
000868,600851,0
000868,601718,0
000868,603168,0
000868,603718,0
000869,000338,1
000869,000848,0
000869,000951,1
000869,000999,1
000869,002275,1
000869,002755,1
000869,300428,1
000869,300580,1
000869,600056,1
000869,600211,1
000869,600252,1
000869,600420,1
000869,600422,1
000869,600479,1
000869,600557,0
000869,600702,1
000869,600742,1
000869,601965,0
000869,603035,1
000869,603198,0
000869,603306,1
000869,603808,1
000892,000030,1
000892,000802,0
000892,000927,0
000892,000981,0
000892,002102,1
000892,002740,0
000892,300006,0
000892,300111,0
000892,300133,0
000892,300336,0
000892,603555,0
000908,000030,1
000908,000625,0
000908,000802,0
000908,000892,0
000908,000927,0
000908,000981,0
000908,002102,1
000908,002740,0
000908,300006,0
000908,300111,0
000908,300133,0
000908,300176,0
000908,300336,0
000908,300439,0
000908,600189,0
000908,603009,0
000908,603555,0
000915,000538,1
000915,000568,1
000915,000596,0
000915,000700,0
000915,000799,1
000915,000858,1
000915,000919,1
000915,002022,1
000915,002287,0
000915,002294,1
000915,002317,0
000915,002365,0
000915,002390,1
000915,002433,1
000915,002434,0
000915,002536,0
000915,002566,1
000915,002590,1
000915,300005,0
000915,300026,1
000915,300119,1
000915,300158,1
000915,300233,1
000915,300251,1
000915,300258,1
000915,300381,0
000915,300434,1
000915,300452,1
000915,300485,1
000915,600059,0
000915,600085,1
000915,600132,1
000915,600195,1
000915,600216,1
000915,600513,1
000915,600519,1
000915,600521,1
000915,600594,1
000915,600671,0
000915,600779,0
000915,601579,1
000915,601799,0
000915,603006,1
000915,603089,1
000915,603158,1
000915,603239,0
000915,603358,1
000915,603369,1
000915,603567,1
000915,603997,1
000919,000156,1
000919,000513,1
000919,000538,0
000919,000568,0
000919,000700,1
000919,000858,0
000919,002019,1
000919,002022,0
000919,002126,1
000919,002287,1
000919,002294,0
000919,002304,1
000919,002317,1
000919,002434,1
000919,002536,1
000919,002550,1
000919,002566,0
000919,002590,0
000919,002603,1
000919,002664,1
000919,002688,1
000919,300005,1
000919,300026,0
000919,300039,1
000919,300119,0
000919,300194,1
000919,300258,0
000919,300406,1
